Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
0,MDS-UPDRS Part I,12,code_upd2109_pat_quest_pain_and_other_sensations,1.09 MDS-UPDRS - Pain And Other Sensations (UPD2109),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,13,code_upd2110_pat_quest_urinary_problems,1.10 MDS-UPDRS - Urinary Problems (UPD2110),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,14,code_upd2111_pat_quest_constipation_problems,1.11 MDS-UPDRS - Constipation Problems (UPD2111),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,15,code_upd2112_pat_quest_lightheadedness_on_standing,1.12 MDS-UPDRS - Lightheadedness on Standing (UPD2112),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,16,code_upd2113_pat_quest_fatigue,1.13 MDS-UPDRS - Fatigue (UPD2113),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,17,mds_updrs_part_i_pat_quest_sub_score,MDS-UPDRS Part I Patient Questionnaire Questions 7-13 Summary  Sub-Score,integer,nullable,(y>=0) & (y<=28),
0,MDS-UPDRS Part I,18,mds_updrs_part_i_summary_score,MDS-UPDRS Part I Summary Score,integer,nullable,(y>=0) & (y<=52),
0,MDS-UPDRS Part II,1,mds_updrs_part_ii_primary_info_source,MDS-UPDRS Part II Primary Source Of Information,string,nullable,,
0,MDS-UPDRS Part II,2,code_upd2201_speech,2.01 MDS-UPDRS - Speech (UPD2201),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,3,code_upd2202_saliva_and_drooling,2.02 MDS-UPDRS - Saliva And Drooling (UPD2202),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,4,code_upd2203_chewing_and_swallowing,2.03 MDS-UPDRS - Chewing And Swallowing (UPD2203),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,5,code_upd2204_eating_tasks,2.04 MDS-UPDRS - Eating Tasks (UPD2204),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,6,code_upd2205_dressing,2.05 MDS-UPDRS - Dressing (UPD2205),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,7,code_upd2206_hygiene,2.06 MDS-UPDRS - Hygiene (UPD2206),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,8,code_upd2207_handwriting,2.07 MDS-UPDRS - Handwriting (UPD2207),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,9,code_upd2208_doing_hobbies_and_other_activities,2.08 MDS-UPDRS - Doing Hobbies And Other Activities (UPD2208),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,10,code_upd2209_turning_in_bed,2.09 MDS-UPDRS - Turning In Bed (UPD2209),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,11,code_upd2210_tremor,2.10 MDS-UPDRS - Tremor (UPD2210),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,12,code_upd2211_get_out_of_bed_car_or_deep_chair,"2.11 MDS-UPDRS - Get Out Of Bed, Car, Or Deep Chair (UPD2211)",integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,13,code_upd2212_walking_and_balance,2.12 MDS-UPDRS - Walking And Balance (UPD2212),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,14,code_upd2213_freezing,2.13 MDS-UPDRS - Freezing (UPD2213),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part II,15,mds_updrs_part_ii_summary_score,MDS-UPDRS Part II Summary Score,integer,nullable,(y>=0) & (y<=52),
0,MDS-UPDRS Part III,37,upd23a_medication_for_pd,3a MDS-UPDRS - Medication For Parkinson's Disease (UPD23A),string,nullable,"[""Yes"", ""No""]",
0,MDS-UPDRS Part III,38,upd23b_clinical_state_on_medication,3b MDS-UPDRS - Clinical State On Medication (UPD23B),string,nullable,"[""ON"", ""OFF"", ""Unknown""]",
0,MDS-UPDRS Part III,39,upd23c_on_levodopa,3c MDS-UPDRS - Is the patient on levodopa?,string,nullable,"[""Yes"", ""No""]",
0,MDS-UPDRS Part III,40,upd23c1_min_since_last_levodopa,"3c1 MDS-UPDRS - If patients on levodopa, minutes since last levodopa dose",numeric,nullable,(y>=0),
0,MDS-UPDRS Part III,1,code_upd2301_speech_problems,3.01 MDS-UPDRS - Speech Problems (UPD2301),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,2,code_upd2302_facial_expression,3.02 MDS-UPDRS - Facial Expression (UPD2302),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,3,code_upd2303a_rigidity_neck,3.03a MDS-UPDRS - Rigidity Neck (UPD2303A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,4,code_upd2303b_rigidity_rt_upper_extremity,3.03b MDS-UPDRS - Rigidity Right Upper Extremity (UPD2303B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,5,code_upd2303c_rigidity_left_upper_extremity,3.03c MDS-UPDRS - Rigidity Left Upper Extremity (UPD2303C),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,6,code_upd2303d_rigidity_rt_lower_extremity,3.03e MDS-UPDRS - Rigidity Right Lower Extremity (UPD2303D),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,7,code_upd2303e_rigidity_left_lower_extremity,3.03e MDS-UPDRS - Rigidity Left Lower Extremity (UPD2303E),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,8,code_upd2304a_right_finger_tapping,3.04a MDS-UPDRS - Right Finger Tapping (UPD2304A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,9,code_upd2304b_left_finger_tapping,3.04b MDS-UPDRS - Left Finger Tapping (UPD2304B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,10,code_upd2305a_right_hand_movements,3.05a MDS-UPDRS - Right Hand Movements (UPD2305A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,11,code_upd2305b_left_hand_movements,3.05b MDS-UPDRS - Left Hand Movements (UPD2305B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,12,code_upd2306a_pron_sup_movement_right_hand,3.06a MDS-UPDRS - Pronanation-Supination Movement Of Right Hand (UPD2306A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,13,code_upd2306b_pron_sup_movement_left_hand,3.06b MDS-UPDRS - Pronanation-Supination Movement Of Left Hand (UPD2306B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,14,code_upd2307a_right_toe_tapping,3.07a MDS-UPDRS - Right Toe Tapping (UPD2307A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,15,code_upd2307b_left_toe_tapping,3.07b MDS-UPDRS - Left Toe Tapping (UPD2307B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,16,code_upd2308a_right_leg_agility,3.08a MDS-UPDRS - Right Leg Agility (UPD2308A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,17,code_upd2308b_left_leg_agility,3.08b MDS-UPDRS - Left Leg Agility (UPD2308B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,18,code_upd2309_arising_from_chair,3.09 MDS-UPDRS - Arising from Chair (UPD2309),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,19,code_upd2310_gait,3.10 MDS-UPDRS - Gait (UPD2310),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,20,code_upd2311_freezing_of_gait,3.11 MDS-UPDRS - Freezing Of Gait (UPD2311),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,21,code_upd2312_postural_stability,3.12 MDS-UPDRS - Postural Stability (UPD2312),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,22,code_upd2313_posture,3.13 MDS-UPDRS - Posture (UPD2313),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,23,code_upd2314_body_bradykinesia,3.14 MDS-UPDRS - Body Bradykinesia (UPD2314),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,24,code_upd2315a_postural_tremor_of_right_hand,3.15a MDS-UPDRS - Postural Tremor Of Right Hand (UPD2315A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,25,code_upd2315b_postural_tremor_of_left_hand,3.15b MDS-UPDRS - Postural Tremor Of Left Hand (UPD2315B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,26,code_upd2316a_kinetic_tremor_of_right_hand,3.16a MDS-UPDRS - Kinetic Tremor Of Right Hand (UPD2316A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,27,code_upd2316b_kinetic_tremor_of_left_hand,3.16b MDS-UPDRS - Kinetic Tremor Of Left Hand (UPD2316B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,28,code_upd2317a_rest_tremor_amplitude_right_upper_extremity,3.17a MDS-UPDRS - Rest Tremor Amplitude Right Upper Extremity (UPD2317A),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,29,code_upd2317b_rest_tremor_amplitude_left_upper_extremity,3.17b MDS-UPDRS - Rest Tremor Amplitude Left Upper Extremity (UPD2317B),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,30,code_upd2317c_rest_tremor_amplitude_right_lower_extremity,3.17c MDS-UPDRS - Rest Tremor Amplitude Right Lower Extremity (UPD2317C),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,31,code_upd2317d_rest_tremor_amplitude_left_lower_extremity,3.17d MDS-UPDRS - Rest Tremor Amplitude Left Lower Extremity (UPD2317D),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,32,code_upd2317e_rest_tremor_amplitude_lip_or_jaw,3.17e MDS-UPDRS - Rest Tremor Amplitude Lip Or Jaw (UPD2317E),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,33,code_upd2318_consistency_of_rest_tremor,3.18 MDS-UPDRS - Consistency Of Rest Tremor (UPD2318),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part III,34,upd2da_dyskinesias_during_exam,3.19 MDS-UPDRS - Dyskinesias During Exam (UPD2DA),string,nullable,"[""Yes"", ""No""]",
0,MDS-UPDRS Part III,35,upd2db_movements_interfere_with_ratings,3.20 MDS-UPDRS - Movements Interfere with Ratings (UPD2DB),string,nullable,"[""Yes"", ""No""]",
0,MDS-UPDRS Part III,41,mds_updrs_part_iii_summary_score,MDS-UPDRS Part III Summary Score,integer,nullable,(y>=0) & (y<=132),
0,MDS-UPDRS Part IV,1,code_upd2401_time_spent_with_dyskinesias,4.01 MDS-UPDRS - Time Spent With Dyskinesias (UPD2401),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part IV,2,code_upd2402_functional_impact_of_dyskinesias,4.02 MDS-UPDRS - Functional Impact Of Dyskinesias (UPD2402),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part IV,3,code_upd2403_time_spent_in_the_off_state,4.03 MDS-UPDRS - Time Spent In The Off State (UPD2403),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part IV,4,code_upd2404_functional_impact_of_fluctuations,4.04 MDS-UPDRS - Functional Impact Of Fluctuations (UPD2404),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part IV,5,code_upd2405_complexity_of_motor_fluctuations,4.05 MDS-UPDRS - Complexity Of Motor Fluctuations (UPD2405),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part IV,6,code_upd2406_painful_off_state_dystonia,4.06 MDS-UPDRS - Painful Off-State Dystonia (UPD2406),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part IV,7,mds_updrs_part_iv_summary_score,MDS-UPDRS Part IV Summary Score,integer,nullable,(y>=0) & (y<=24),
0,MDS-UPDRS Part IV,8,upd2406_1_total_hours_off,4.06.1 MDS-UPDRS - Total Hours OFF,numeric,nullable,(y>=0) & (y<=1440),
0,MDS-UPDRS Part IV,9,upd2406_2_off_hours_wo_dystonia,4.06.2 MDS-UPDRS - Total OFF Hours with Dystonia,numeric,nullable,(y>=0) & (y<=1440),
0,MDS-UPDRS Part IV,10,upd2406_3_pct_off_dystonia,4.06.3 MDS-UPDRS - % OFF Dystonia = ((2/1)*100),numeric,nullable,(y>=0) & (y<=100),
0,MoCA,1,moca01_alternating_trail_making,MOCA: 01. Alternating Trail Making,integer,nullable,"y.isin([0,1])",
0,MoCA,2,moca02_visuoconstr_skills_cube,MOCA: 02. Visuoconstructional Skills - Copy Cube,integer,nullable,"y.isin([0,1])",
0,MoCA,3,moca03_visuoconstr_skills_clock_cont,MOCA: 03. Visuoconstructional Skills - Draw Clock Contour,integer,nullable,"y.isin([0,1])",
0,MoCA,4,moca04_visuoconstr_skills_clock_num,MOCA: 04. Visuoconstructional Skills - Draw Clock Numbers,integer,nullable,"y.isin([0,1])",
0,MoCA,5,moca05_visuoconstr_skills_clock_hands,MOCA: 05. Visuoconstructional Skills - Draw Clock Hands,integer,nullable,"y.isin([0,1])",
0,MoCA,5,moca05_visuoconstr_skills_clock,MOCA: Draw Clock Total,integer,nullable,"y.isin([0,1,2,3])",
0,MoCA,6,moca_visuospatial_executive_subscore,MOCA: Visuospatial And Executive Subscore,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,MoCA,7,moca06_naming_lion,MOCA: 06. Naming - Lion,integer,nullable,"y.isin([0,1])",
0,MoCA,8,moca07_naming_rhino,MOCA: 07. Naming - Rhino,integer,nullable,"y.isin([0,1])",
0,MoCA,9,moca08_naming_camel,MOCA: 08. Naming - Camel,integer,nullable,"y.isin([0,1])",
0,MoCA,10,moca_naming_subscore,MOCA: Naming Subscore,integer,nullable,"y.isin([0,1,2,3])",
0,MoCA,11,moca09_attention_forward_digit_span,MOCA: 09. Attention - Forward Digit Span,integer,nullable,"y.isin([0,1])",
0,MoCA,12,moca10_attention_backward_digit_span,MOCA: 10. Attention - Backward Digit Span,integer,nullable,"y.isin([0,1])",
0,MoCA,13,moca_attention_digits_subscore,MOCA: Attention Forward-Backward Repeat Lists Of Digits Subscore,integer,nullable,"y.isin([0,1,2])",
0,MoCA,14,moca11_attention_vigilance,MOCA: 11. Attention - Vigilance,integer,nullable,"y.isin([0,1])",
0,MoCA,15,moca12_attention_serial_7s,MOCA: 12. Attention - Serial 7s,integer,nullable,"y.isin([0,1,2,3])",
0,MoCA,16,moca_attention_subscore,MOCA: Attention domain subscore,integer,nullable,"y.isin([0,1,2,3,4,5,6])",
0,MoCA,17,moca13_sentence_repetition,MOCA: 13. Sentence Repetition,integer,nullable,"y.isin([0,1,2])",
0,MoCA,18,moca13_sentence_repetition_1,MOCA: 13. Sentence Repetition 1,integer,nullable,"y.isin([0,1])",
0,MoCA,19,moca13_sentence_repetition_2,MOCA: 13. Sentence Repetition 2,integer,nullable,"y.isin([0,1])",
0,MoCA,20,moca14_verbal_fluency_number_of_words,MOCA: 14. Verbal Fluency - Number Of Words,integer,nullable,(y>=0) & (y<=100),
0,MoCA,21,moca15_verbal_fluency,MOCA: 15. Verbal Fluency,integer,nullable,"y.isin([0,1])",
0,MoCA,22,moca_language_subscore,MOCA: Language Subscore,integer,nullable,"y.isin([0,1,2,3])",
0,MoCA,23,moca16_abstraction_1,MOCA: 16. Abstraction 1,integer,nullable,"y.isin([0,1])",
0,MoCA,24,moca16_abstraction_2,MOCA: 16. Abstraction 2,integer,nullable,"y.isin([0,1])",
0,MoCA,25,moca_abstraction_subscore,moca16_abstraction_1 + moca16_abstraction_2,integer,nullable,"y.isin([0,1,2])",
0,MoCA,26,moca17_delayed_recall_face,MOCA: 17. Delayed Recall - Face,integer,nullable,"y.isin([0,1])",
0,MoCA,27,moca18_delayed_recall_velvet,MOCA: 18. Delayed Recall - Velvet,integer,nullable,"y.isin([0,1])",
0,MoCA,28,moca19_delayed_recall_church,MOCA: 19. Delayed Recall - Church,integer,nullable,"y.isin([0,1])",
0,MoCA,29,moca20_delayed_recall_daisy,MOCA: 20. Delayed Recall - Daisy,integer,nullable,"y.isin([0,1])",
0,MoCA,30,moca21_delayed_recall_red,MOCA: 21. Delayed Recall - Red,integer,nullable,"y.isin([0,1])",
0,MoCA,31,moca_delayed_recall_subscore_optnl_cat_cue,MOCA: Delayed Recall Subscore Optional Category Cue,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,MoCA,32,moca_delayed_recall_subscore_optnl_mult_choice,MOCA: Delayed Recall Subscore Optional Multiple Choice Cue,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,MoCA,33,moca_delayed_recall_subscore,MOCA: Delayed Recall Subscore Uncued,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,MoCA,34,moca22_orientation_date_score,MOCA: 22. Orientation - Date Score,integer,nullable,"y.isin([0,1])",
0,MoCA,35,moca23_orientation_month_score,MOCA: 23. Orientation - Month Score,integer,nullable,"y.isin([0,1])",
0,MoCA,36,moca24_orientation_year_score,MOCA: 24. Orientation - Year  Score,integer,nullable,"y.isin([0,1])",
0,MoCA,37,moca25_orientation_day_score,MOCA: 25. Orientation - Day Score,integer,nullable,"y.isin([0,1])",
0,MoCA,38,moca26_orientation_place_score,MOCA: 26. Orientation - Place Score,integer,nullable,"y.isin([0,1])",
0,MoCA,39,moca27_orientation_city_score,MOCA: 27. Orientation - City Score,integer,nullable,"y.isin([0,1])",
0,MoCA,40,moca_orientation_subscore,MOCA: Orientation Subscore,integer,nullable,"y.isin([0,1,2,3,4,5,6])",
0,MoCA,41,moca_total_score,MOCA Total Score,integer,nullable,(y>=0) & (y<=30),
0,MoCA,42,moca_total_score_adjusted,MoCA Total Score adjusted for education,integer,nullable,(y>=0) & (y<=31),
0,SDM,1,sdm_score,Symbol Digit Modalities Test,integer,nullable,(y>=0) & (y<=110),
0,SCOPA-AUT,1,scopa_aut01_swallowing,SCOPA-AUT item 1 - swallowing,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,2,scopa_aut02_dribbling,SCOPA-AUT item 2 - dribbling,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,3,scopa_aut03_food_stuck,SCOPA-AUT item 3 - food stuck,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,4,scopa_aut04_stomach_full_quickly,SCOPA-AUT item 4 - stomach is full quickly,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,5,scopa_aut05_bowel_constipation,SCOPA-AUT item 5 - bowel constipation,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,6,scopa_aut06_bowel_strain_hard,SCOPA-AUT item 6 - bowel straining,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,7,scopa_aut07_bowel_involuntary_loss,SCOPA-AUT item 7 - bowel involuntary loss,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,8,scopa_aut08_urine_hard_to_retain,SCOPA-AUT item 8 - urine hard to retain,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",
0,SCOPA-AUT,9,scopa_aut09_urine_involuntary_loss,SCOPA-AUT item 9 - urine involuntart loss,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",
0,SCOPA-AUT,10,scopa_aut10_urine_residual,SCOPA-AUT item 10 - urine residual,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",
0,SCOPA-AUT,11,scopa_aut11_urine_stream_weak,SCOPA-AUT item 11 - urine stream is weak,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",
0,SCOPA-AUT,12,scopa_aut12_urine_pass_less_2hr,SCOPA-AUT item 12 - urine pass less than 2 hrs,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",
0,SCOPA-AUT,13,scopa_aut13_urine_night,SCOPA-AUT item 13 - urine night,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",
0,SCOPA-AUT,14,scopa_aut14_light_head_stand_up,SCOPA-AUT item 14 - standing up lightheadedness,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,15,scopa_aut15_light_head_standing,SCOPA-AUT item 15 - while standing lightheadedness,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,16,scopa_aut16_faint,SCOPA-AUT item 16 - faint,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,17,scopa_aut17_perspiration_day,SCOPA-AUT item 17 - daytime perspiration,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,18,scopa_aut18_perspiration_night,SCOPA-AUT item 18 - nighttime perspiration,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,19,scopa_aut19_too_bright,SCOPA-AUT item 19 - too bright,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,20,scopa_aut20_too_cold,SCOPA-AUT item 20 - too cold,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,21,scopa_aut21_too_hot,SCOPA-AUT item 21 - too hot,string,nullable,"['never', 'sometimes', 'regularly', 'often']",
0,SCOPA-AUT,22,scopa_aut22_sex_impotent,SCOPA-AUT item 22 - sex impotence,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",
0,SCOPA-AUT,23,scopa_aut23_sex_unable_ejaculate,SCOPA-AUT item 23 - sex unable to ejaculate,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",
0,SCOPA-AUT,24,scopa_aut23a_sex_medication,SCOPA-AUT item 23a - on ED medication,string,nullable,"['no', 'yes', 'unknown']",
0,SCOPA-AUT,25,scopa_aut23at_sex_medication_text,SCOPA-AUT item 23a - ED medication free text,string,nullable,,
0,SCOPA-AUT,26,scopa_aut24_sex_dry,SCOPA-AUT item 24 - sex dryness,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",
0,SCOPA-AUT,27,scopa_aut25_sex_difficulty_orgasm,SCOPA-AUT item 25 - difficulty orgasm,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",
0,SCOPA-AUT,28,scopa_aut26a_constipation_med,SCOPA-AUT item 26a - constipation medication,string,nullable,"['no', 'yes', 'unknown']",
0,SCOPA-AUT,29,scopa_aut26at_constipation_med_text,SCOPA-AUT item 26a - constipation medication free text,string,nullable,,
0,SCOPA-AUT,30,scopa_aut26b_urine_med,SCOPA-AUT item 26b - urinary medication,string,nullable,"['no', 'yes', 'unknown']",
0,SCOPA-AUT,31,scopa_aut26bt_urine_med_text,SCOPA-AUT item 26b - urinary medication free text,string,nullable,,
0,SCOPA-AUT,32,scopa_aut26c_blood_pressure_med,SCOPA-AUT item 26c - blood pressure medication,string,nullable,"['no', 'yes', 'unknown']",
0,SCOPA-AUT,33,scopa_aut26ct_blood_pressure_med_text,SCOPA-AUT item 26c - blood pressure medication free text,string,nullable,,
0,SCOPA-AUT,34,scopa_aut26d_other_med,SCOPA-AUT item 26d - other medications,string,nullable,"['no', 'yes', 'unknown']",
0,SCOPA-AUT,35,scopa_aut26dt_other_med_text,SCOPA-AUT item 26d med - other medications free text,string,nullable,,
0,SCOPA-COG,1,scopa_cog1_verbal_recall,SCOPA-COG item 1 - verbal recall,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,SCOPA-COG,2,scopa_cog2_digit_span_backward,SCOPA-COG item 2 - digit span backward,integer,nullable,"y.isin([0,1,2,3,4,5,6,7])",
0,SCOPA-COG,3,scopa_cog3_cube,SCOPA-COG item 3 - indicate cubes,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,SCOPA-COG,4,scopa_cog4_count_backwards,SCOPA-COG item 4 - counting backwards,integer,nullable,"y.isin([0,1,2])",
0,SCOPA-COG,5,scopa_cog5_months_backward,SCOPA-COG item 5 - months backwards,integer,nullable,"y.isin([0,1,2])",
0,SCOPA-COG,6,scopa_cog6_fist_edge_palm,SCOPA-COG item 6 - fist-edge-palm,integer,nullable,"y.isin([0,1,2,3])",
0,SCOPA-COG,7,scopa_cog7_semantic_fluency,SCOPA-COG item 7 - semantic fluency,integer,nullable,"y.isin([0,1,2,3,4,5,6])",
0,SCOPA-COG,8,scopa_cog8_dice,SCOPA-COG item 8 - dice,integer,nullable,"y.isin([0,1,2,3])",
0,SCOPA-COG,9,scopa_cog9_assembling_figures,SCOPA-COG item 9 - assembling patterns,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,SCOPA-COG,10,scopa_cog10_delayed_recall,SCOPA-COG item 10 - delayed recall,integer,nullable,"y.isin([0,1,2,3,4,5])",
0,SCOPA-COG,15,scopa_cog_total_score,SCOPA-COG Total Score,integer,nullable,(y>=0) & (y<=43),
0,RBD Diagnosis,1,rbd_dx_polysomnography,RBD diagnosis with Polysomnography ,string,nullable,"[""Yes"", ""No""]",
0,RBD Screening Questionnaire,1,rbd_info_source,RBD Source Of Information,string,nullable,,
0,RBD Screening Questionnaire,2,code_rbd01_vivid_dreams,"RBD 01. Vivid Dreams {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,3,code_rbd02_aggressive_or_action_packed_dreams,"RBD 02. Aggressive Or Action-Packed Dreams {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,4,code_rbd03_nocturnal_behaviour,"RBD 03. Nocturnal Behaviour {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,5,code_rbd04_move_arms_legs_during_sleep,"RBD 04. Move Arms and Legs During Sleep {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,6,code_rbd05_hurt_bed_partner,"RBD 05. Hurt Bed Partner {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,7,code_rbd06_1_speaking_in_sleep,"RBD 06.1 Speaking In Sleep {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,8,code_rbd06_2_sudden_limb_movements,"RBD 06.2 Sudden Limb Movements {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,9,code_rbd06_3_complex_movements,"RBD 06.3 Complex Movements {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,10,code_rbd06_4_things_fell_down,"RBD 06.4 Things Fell Down {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,11,code_rbd07_my_movements_awake_me,"RBD 07. My Movements Awake Me {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,12,code_rbd08_remember_dreams,"RBD 08. Remember Dreams {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
